Attack,Defense,HP,Legendary,Sp. Atk,Sp. Def,Speed,winner
-55.0,50,55.0,1.0,-73.0,50,70,-1
78.0,68,14.150000000000006,1.0,1.0,1,61,1
-40.0,-33,8.450000000000003,0.0,35.0,5,27,1
-25.0,-10,-18.75,0.0,-82.5,-40,-20,-1
23.0,-27,-1.3500000000000014,0.0,70.0,-25,-6,-1
5.0,-37,27.5,0.0,-35.0,-37,-16,-1
-95.0,-10,-11.100000000000001,0.0,-13.0,-20,-38,-1
-44.5,-43,20.200000000000003,0.0,-44.0,25,17,1
45.0,-3,-11.100000000000001,0.0,68.0,-12,23,1
-52.0,2,4.200000000000003,0.0,-12.0,72,2,1
29.0,-15,-2.049999999999997,0.0,39.0,-40,5,1
79.0,30,57.4,0.0,7.0,20,7,1
-52.0,12,-8.849999999999994,0.0,-57.5,-6,27,1
20.0,-15,-16.25,0.0,-25.0,-15,16,1
-27.0,-31,15.25,0.0,38.0,35,53,1
100.0,55,53.0,0.0,75.0,30,45,1
-55.0,5,-3.75,0.0,-47.5,-30,15,1
35.0,10,2.6500000000000057,-1.0,94.0,10,-28,-1
-95.0,-16,-1.5,0.0,-10.0,-73,-21,-1
-79.0,152,-46.3,0.0,-104.0,145,-95,-1
-16.0,-23,0.6000000000000014,0.0,54.0,19,70,1
-35.0,16,-15.5,0.0,-98.0,11,-80,-1
13.0,-45,0.25,0.0,13.0,-45,-7,-1
68.0,23,56.150000000000006,1.0,35.0,15,10,1
150.0,34,-64.5,0.0,100.0,34,10,1
-42.5,-10,-36.5,0.0,-47.5,-35,-40,-1
25.0,-53,7.0,1.0,3.0,-50,35,1
-26.0,12,-41.39999999999999,0.0,-1.0,12,37,1
45.0,10,37.0,-1.0,-50.0,-30,-10,-1
10.0,-13,10.5,0.0,15.0,-3,-85,-1
-17.0,15,7.5,0.0,1.0,-5,-22,-1
7.0,12,32.0,0.0,48.0,8,-10,-1
-35.0,-57,2.5,0.0,-40.0,-57,-41,-1
-12.0,-32,-36.5,0.0,5.0,-15,-21,-1
-21.0,-67,15.5,0.0,-5.0,-50,60,-1
-63.5,-35,-11.5,-1.0,-101.5,-10,-5,-1
-58.0,-13,-18.75,0.0,22.0,57,-51,-1
140.0,-35,111.75,1.0,175.0,-35,45,1
-41.0,16,7.5,0.0,24.0,36,-32,-1
-22.5,-40,-35.75,0.0,-40.0,-90,-5,-1
-50.0,-10,-9.399999999999999,0.0,-18.0,2,-5,-1
-11.0,44,3.700000000000003,0.0,56.0,21,-66,-1
30.0,12,15.950000000000003,0.0,33.0,24,25,1
-35.0,-15,-50.0,-1.0,0.0,-60,-50,-1
-100.0,-46,-33.349999999999994,-1.0,-43.0,-46,-47,-1
15.0,25,-10.0,-1.0,-30.0,-55,-45,-1
13.0,-36,-19.75,0.0,46.0,-36,-31,-1
25.0,-25,-3.25,0.0,25.0,-40,15,1
10.0,20,8.5,0.0,57.0,40,83,1
4.0,10,-11.0,0.0,14.0,-20,16,1
-14.0,8,-2.25,0.0,-14.0,11,-55,-1
-53.0,5,11.75,0.0,12.0,5,55,1
-44.0,-33,-24.849999999999994,0.0,-27.0,-31,-24,-1
-50.0,-55,-5.25,0.0,-25.0,-15,0,-1
65.0,-4,53.75,0.0,-35.0,11,70,1
-50.0,-25,-21.5,0.0,25.0,-55,40,1
-45.0,-10,-19.5,0.0,15.0,-5,5,1
12.0,-17,-12.0,0.0,-35.0,-10,10,1
-29.0,-5,-1.5,1.0,36.0,33,-1,-1
-14.0,-40,19.0,0.0,11.0,-35,9,1
-20.0,-25,-4.25,0.0,5.0,-35,2,1
10.0,30,39.0,0.0,-10.0,-5,-50,-1
65.0,10,31.0,0.0,30.0,40,65,1
35.0,60,32.85000000000001,1.0,95.0,40,19,1
170.0,-11,69.5,0.0,65.0,55,26,1
-92.5,-3,17.5,0.0,-15.0,-55,-42,-1
-43.0,12,14.149999999999999,0.0,-9.0,17,-47,-1
-5.0,155,23.15,0.0,5.0,15,-130,-1
10.0,0,-8.0,0.0,-60.0,-20,-30,-1
-12.0,-12,23.25,0.0,-10.0,0,19,1
40.0,75,36.0,0.0,-15.0,-50,-70,1
10.0,15,0.5,0.0,75.0,10,60,1
110.0,45,19.0,0.0,-5.0,-30,5,1
30.0,0,-14.25,0.0,-55.0,0,11,1
0.0,20,-38.75,0.0,-10.0,15,11,1
20.0,-35,-23.0,0.0,-35.0,-35,-70,-1
-60.0,20,0.5,0.0,30.0,-10,-40,-1
-30.0,-15,32.5,0.0,15.0,50,20,1
-61.0,3,-18.5,0.0,-30.0,10,25,1
0.0,23,18.0,0.0,3.0,-5,5,1
44.0,23,11.25,0.0,60.0,20,5,1
-20.0,-10,-13.0,0.0,-10.0,-20,-70,-1
-92.0,-63,-7.5,0.0,-92.0,-73,40,-1
-17.5,50,15.5,0.0,0.0,45,10,1
-80.0,-20,-20.099999999999994,-1.0,-57.5,-79,-50,-1
30.0,10,31.75,0.0,15.0,0,55,1
45.0,13,23.75,0.0,81.0,9,-3,-1
80.0,20,21.75,0.0,-20.0,-50,-22,-1
2.5,72,16.0,0.0,2.5,37,31,1
-7.0,25,43.050000000000004,0.0,-17.0,25,-64,-1
74.0,55,16.75,0.0,39.0,10,7,1
0.0,-20,-36.75,0.0,-28.0,0,50,-1
-62.5,-70,4.75,0.0,-65.0,-15,-15,-1
15.0,-14,-5.75,0.0,52.0,-35,29,1
0.0,72,83.45,0.0,25.0,70,47,1
25.0,-70,-57.0,0.0,-35.0,-80,-10,-1
-10.0,-5,-12.799999999999997,0.0,-125.0,-105,-50,-1
137.0,50,-16.5,0.0,60.0,15,25,1
-69.0,-45,-17.0,0.0,30.0,15,19,1
55.0,50,8.0,0.0,180.0,0,-35,1
-35.0,-5,9.0,0.0,-50.0,-25,-65,-1
4.0,18,14.25,0.0,44.0,-5,-2,-1
-5.0,-20,9.0,0.0,10.0,0,-70,-1
43.0,47,11.75,0.0,78.0,77,57,1
-2.5,5,4.75,0.0,-2.5,-10,10,1
-7.0,-13,-3.75,0.0,63.0,22,-3,-1
-41.0,35,4.900000000000006,-1.0,-119.0,-35,-84,-1
-55.0,20,10.5,0.0,-45.0,45,5,-1
-98.0,-35,-15.350000000000001,0.0,-93.0,-65,-70,-1
4.0,-30,28.35,0.0,16.0,-15,9,1
20.0,-22,52.5,0.0,55.0,40,25,1
15.0,30,53.15,0.0,15.0,50,-110,1
-55.0,20,12.0,1.0,-30.0,120,-30,-1
3.0,-23,-13.5,0.0,-34.0,-29,29,1
35.0,-20,2.0,0.0,140.0,-10,-30,-1
141.0,-30,29.0,0.0,51.0,-20,94,1
20.0,-61,2.0,0.0,38.0,-38,-20,-1
125.0,36,29.0,1.0,145.0,26,0,-1
36.0,70,107.5,1.0,55.0,70,49,1
35.0,10,40.5,0.0,-50.0,10,-75,-1
30.0,13,17.950000000000003,0.0,-45.0,30,0,-1
-110.0,-30,-19.25,-1.0,-110.0,-30,-45,-1
18.0,-5,19.35,0.0,26.0,15,19,1
-5.0,-40,67.0,-1.0,-90.0,-25,-105,1
168.0,20,23.5,-1.0,65.0,15,-29,-1
-30.0,-21,26.25,0.0,35.0,9,35,1
24.0,46,23.25,1.0,91.0,34,40,1
-70.0,-72,14.75,0.0,-38.0,-25,-44,-1
9.0,-1,-6.299999999999997,0.0,-14.0,51,-86,-1
-50.0,-40,-56.5,0.0,-45.0,0,5,1
40.0,26,13.25,0.0,10.0,36,8,1
-68.0,-28,-21.799999999999997,0.0,-25.0,-30,-46,-1
30.0,-15,-2.25,0.0,-25.0,5,-5,-1
19.0,-5,7.75,0.0,-8.0,-35,1,1
83.0,-1,32.5,0.0,130.0,26,23,1
80.0,10,38.650000000000006,0.0,25.0,40,45,1
100.0,80,41.75,0.0,-5.0,-55,-5,-1
40.0,-2,27.5,0.0,-55.0,-67,-66,1
2.0,12,37.25,0.0,-4.0,-22,-77,-1
-26.5,32,-0.14999999999999858,0.0,-72.5,-35,-58,-1
-12.0,18,15.75,0.0,45.0,19,19,1
99.0,67,54.95,1.0,59.0,44,50,1
-100.0,-55,-62.5,-1.0,-100.0,-59,10,-1
-60.0,-75,40.5,-1.0,-65.0,-80,51,1
20.0,-5,-0.25,0.0,-60.0,-40,-70,-1
-30.0,5,4.25,0.0,60.0,55,-35,-1
-70.0,5,17.75,1.0,-42.5,10,50,1
-77.5,-90,19.85,0.0,0.0,26,55,-1
69.0,12,24.950000000000003,0.0,-16.0,29,85,1
3.0,-35,-20.75,-1.0,44.0,-12,-54,-1
-82.5,-13,20.5,0.0,-120.0,25,-27,-1
22.0,-5,21.800000000000004,0.0,-33.0,-10,4,1
10.0,-20,41.25,0.0,-30.0,5,-35,-1
-115.0,25,-63.5,-1.0,-35.0,-20,-70,-1
152.0,60,62.6,0.0,170.0,-14,7,1
201.0,35,34.0,0.0,51.0,-15,-11,-1
-50.0,8,-16.5,0.0,-45.0,20,-57,-1
-50.0,5,-1.0,0.0,25.0,15,-10,-1
-37.0,0,21.0,0.0,43.0,0,67,1
-45.0,35,14.649999999999999,1.0,-45.0,35,-4,-1
-13.0,36,46.25,0.0,-13.0,36,43,1
8.0,43,29.300000000000004,0.0,91.0,39,15,1
-50.0,-45,-6.0,0.0,-160.0,-75,-85,-1
-39.0,-13,40.5,0.0,6.0,42,-32,-1
-10.0,10,17.5,0.0,55.0,55,35,1
40.0,45,18.25,0.0,5.0,15,25,1
55.0,23,24.1,0.0,30.0,-23,-12,-1
111.0,65,29.85,0.0,5.0,55,40,-1
15.0,-49,26.0,0.0,60.0,-29,18,1
-35.0,-35,-17.75,-1.0,-50.0,-25,-75,-1
-75.0,-57,-10.25,0.0,-15.0,-32,-23,-1
-32.0,-13,-0.75,0.0,-4.0,9,10,1
-59.0,-25,44.5,0.0,15.0,30,48,1
-78.0,-30,-53.5,0.0,-60.0,-25,25,-1
12.0,0,-40.5,0.0,-13.0,-35,43,1
-2.0,85,-8.299999999999997,0.0,32.0,40,7,1
35.0,95,41.0,0.0,14.0,44,25,1
182.0,51,-1.5,1.0,172.0,44,19,1
-28.0,-23,-39.14999999999999,0.0,-32.0,-12,-1,-1
-75.0,21,43.5,0.0,-10.0,86,30,1
129.0,-25,17.75,0.0,204.0,25,5,1
-70.0,-70,0.0,-1.0,35.0,-15,0,-1
-7.0,-88,14.5,0.0,78.0,-18,75,1
55.0,9,8.700000000000003,1.0,75.0,9,15,1
-3.5,-7,83.0,0.0,6.5,-7,30,1
16.0,-10,31.75,0.0,2.0,0,-3,-1
41.0,-5,17.650000000000006,-1.0,58.0,-25,-73,-1
30.0,5,9.0,0.0,60.0,-45,40,1
35.0,20,17.0,0.0,-40.0,-70,-60,-1
-65.0,77,0.4000000000000057,0.0,-92.0,33,-7,-1
60.0,128,66.0,1.0,25.0,38,25,1
-13.0,-25,-12.699999999999996,0.0,-25.0,-21,-14,-1
19.0,35,0.5,0.0,24.0,55,11,1
130.0,5,-11.799999999999997,1.0,240.0,35,8,1
-66.0,-34,46.3,0.0,38.0,36,-42,-1
115.0,-55,18.25,0.0,75.0,25,60,1
-42.5,-45,-13.75,0.0,-42.5,50,30,1
160.0,23,50.25,0.0,154.0,65,45,1
10.0,-80,90.5,1.0,60.0,40,40,1
-130.0,-78,-53.5,-1.0,-30.0,-58,-35,-1
10.0,80,61.0,0.0,30.0,100,5,1
-3.5,18,16.0,0.0,-28.5,18,-21,-1
0.0,-20,21.65,0.0,-5.0,-30,36,1
-78.5,-74,-34.7,0.0,-51.5,-24,4,1
18.0,19,10.899999999999999,0.0,5.0,70,19,1
2.5,50,18.75,0.0,-55.0,65,0,-1
60.0,40,42.5,0.0,-5.0,40,30,1
17.0,-8,-125.5,0.0,32.0,2,11,1
-80.0,-60,-18.099999999999994,-1.0,-144.0,-60,-105,-1
-120.0,-70,-50.099999999999994,-1.0,-114.0,-80,-80,-1
52.0,25,61.25,0.0,89.0,25,88,1
80.0,35,45.25,0.0,170.0,20,-70,1
-5.0,-11,-25.450000000000003,0.0,85.0,-11,-45,-1
-33.0,-18,-18.75,0.0,-20.0,-38,15,1
-28.5,33,9.100000000000001,0.0,-67.0,-21,-69,-1
-30.0,-15,19.65,1.0,10.0,15,11,1
-85.0,42,20.5,0.0,-112.5,-5,-67,-1
-20.0,-20,8.5,-1.0,10.0,-10,0,-1
65.0,28,41.5,0.0,0.0,65,-8,-1
-7.5,15,41.75,0.0,-10.0,45,35,1
5.0,-27,17.5,0.0,-55.0,-22,-46,-1
-45.0,47,-18.0,-1.0,-45.0,-23,16,1
71.0,69,-3.0,0.0,-7.0,-37,1,1
21.0,-17,1.25,0.0,-24.0,-30,-59,-1
22.0,69,53.6,1.0,3.0,43,14,1
-15.0,-10,37.5,-1.0,-40.0,-35,-90,-1
-25.0,-25,-38.5,0.0,25.0,15,10,1
283.0,115,61.75,0.0,170.0,90,51,1
5.0,15,42.7,0.0,-14.5,10,0,-1
-45.0,-10,0.0,-1.0,-77.5,-10,-20,-1
5.0,14,17.700000000000003,0.0,-5.0,-16,-45,-1
40.0,50,32.7,0.0,70.0,98,9,1
37.0,18,22.5,0.0,-28.0,13,-32,-1
0.0,-35,-5.75,0.0,25.0,15,10,1
100.0,15,67.75,1.0,119.0,55,110,1
-10.0,50,-15.75,0.0,-10.0,-90,0,-1
-65.0,40,27.0,0.0,-40.0,-5,-30,-1
85.0,180,19.75,0.0,-70.0,35,0,-1
-65.0,0,29.0,0.0,-170.0,-40,-40,-1
40.0,5,14.450000000000003,0.0,60.0,50,-18,-1
23.0,-15,-20.75,0.0,185.0,35,-2,-1
25.0,20,-33.75,0.0,-40.0,-50,-40,-1
-90.0,-20,-53.5,0.0,12.0,-5,-28,-1
23.0,-105,47.5,-1.0,0.0,-105,-35,-1
-32.5,12,33.800000000000004,0.0,-73.0,29,-41,-1
15.0,5,33.5,0.0,62.0,12,41,1
-10.0,-35,16.5,0.0,-43.0,-38,-44,-1
-28.0,13,71.75,0.0,3.0,21,-3,-1
32.0,40,41.75,0.0,60.0,62,18,1
-15.0,35,-4.199999999999996,0.0,-28.0,-7,5,1
99.0,-70,61.25,0.0,228.0,45,38,1
-10.0,47,25.5,0.0,-87.0,-10,-91,-1
14.0,35,9.0,0.0,-11.0,25,-34,-1
10.0,10,-60.5,1.0,10.0,-5,120,1
76.0,9,24.0,0.0,148.0,20,44,1
35.0,-37,37.5,0.0,-45.0,-37,9,1
70.0,60,24.0,0.0,25.0,15,25,1
84.0,32,34.95,0.0,9.0,39,110,1
-125.0,1,-18.25,0.0,10.0,-39,-120,-1
-25.0,5,15.5,0.0,15.0,40,10,1
123.0,13,-44.55,0.0,61.0,-7,42,1
7.0,32,42.6,0.0,29.0,67,10,1
30.0,25,24.0,0.0,10.0,20,-90,1
-25.0,-25,-31.199999999999996,0.0,1.0,-41,-13,-1
70.0,55,41.400000000000006,1.0,10.0,45,106,1
-15.0,-5,4.649999999999999,0.0,-51.0,-32,-21,-1
34.0,11,20.75,0.0,39.0,6,-7,-1
42.0,30,48.25,0.0,25.0,30,12,1
-30.5,-10,8.25,0.0,-79.0,-10,-57,-1
-69.0,-60,-20.0,-1.0,-99.0,-80,-60,-1
0.0,27,9.0,0.0,-25.0,27,-14,-1
-5.0,25,26.25,1.0,60.0,30,-15,-1
-45.0,-5,10.0,0.0,-35.0,-2,-11,-1
11.0,-5,18.25,0.0,-54.0,-25,-2,-1
-6.0,-28,15.600000000000001,0.0,-33.5,-36,45,1
95.0,80,44.0,0.0,60.0,20,70,1
70.0,93,45.15,0.0,5.0,28,-21,-1
35.0,10,41.0,0.0,105.0,30,85,1
-2.5,14,11.75,0.0,-48.0,-2,13,1
-21.0,9,59.25,0.0,1.0,29,-43,-1
30.0,51,-1.5,0.0,50.0,46,-20,-1
-43.0,-35,-32.25,0.0,-23.0,-45,-12,-1
31.0,40,4.549999999999997,1.0,68.0,27,79,1
65.0,12,43.7,0.0,-42.0,-94,5,1
-35.0,12,14.75,0.0,-57.0,-21,-4,-1
-45.0,0,-3.0,-1.0,-40.0,-35,60,-1
53.0,43,-22.75,0.0,53.0,38,81,1
-15.0,-11,-15.100000000000001,0.0,-12.0,-20,14,1
-15.0,5,9.75,0.0,34.0,9,-5,-1
15.0,-10,-5.149999999999999,0.0,45.0,10,34,1
-114.0,-5,22.0,0.0,-84.0,5,-40,-1
-21.5,30,32.95,0.0,-43.5,-15,-44,-1
71.0,35,75.0,1.0,71.0,38,39,1
-17.0,-3,16.900000000000006,0.0,47.0,15,-18,-1
-121.0,-82,-4.75,0.0,-91.5,-28,-86,-1
-95.0,-18,-10.099999999999994,-1.0,-94.0,-18,-55,-1
3.0,-105,-0.75,0.0,51.0,33,42,1
30.0,55,61.0,0.0,35.0,35,-25,-1
-31.0,25,28.75,0.0,-9.5,35,25,1
34.0,45,-0.25,0.0,29.0,10,-63,-1
-95.0,-40,42.0,0.0,-47.5,0,-5,-1
25.0,35,-3.0,0.0,-45.0,-5,-60,-1
-23.0,-25,1.5,0.0,-52.0,-25,-32,-1
-34.0,0,52.25,0.0,52.0,30,-7,-1
-57.0,-32,-13.849999999999994,0.0,-60.0,-50,-70,-1
-20.0,-37,-39.0,0.0,-88.0,-88,-40,-1
-4.0,5,11.0,0.0,-4.0,-20,-1,-1
-25.0,68,-29.549999999999997,1.0,-22.0,49,27,1
72.0,-61,28.1,1.0,97.0,64,76,1
29.0,5,4.0,0.0,39.0,-5,2,1
-45.0,68,44.75,0.0,-45.0,-35,-43,-1
-12.5,0,38.75,0.0,-72.5,35,50,1
3.0,-25,49.0,0.0,13.0,10,20,1
3.0,20,14.400000000000002,0.0,-25.0,0,-2,-1
-55.5,30,17.5,0.0,-25.5,40,-54,-1
-50.0,0,-13.5,0.0,10.0,20,0,-1
44.0,14,26.900000000000006,1.0,34.0,64,-5,-1
-65.0,0,11.0,0.0,-25.0,-25,-25,-1
-76.0,-80,-53.8,0.0,-36.0,-36,10,1
-50.0,-100,-15.25,0.0,-20.0,-30,-40,-1
10.0,-27,-10.5,0.0,2.0,-18,22,1
-10.0,-116,-7.5,-1.0,-30.0,-106,-35,-1
-67.5,2,-7.75,0.0,-74.0,-18,-63,-1
-71.0,-49,9.75,0.0,21.0,-51,-40,-1
-22.0,-42,-18.5,0.0,-35.0,-40,-34,-1
319.0,120,67.7,1.0,250.0,25,25,1
-90.0,-80,-55.0,0.0,-35.0,-80,-40,-1
-52.0,-5,-31.5,0.0,-97.0,-68,-2,-1
-10.0,0,29.0,1.0,40.0,35,0,-1
60.0,0,-46.5,-1.0,-15.0,-40,-35,-1
13.0,-11,5.75,0.0,36.0,54,7,1
5.0,-10,-2.5,0.0,4.0,10,-13,-1
-10.0,-15,-9.0,0.0,50.0,25,5,1
-87.5,-26,-56.25,-1.0,-148.0,-52,-52,-1
5.0,-5,-39.5,0.0,50.0,40,20,1
20.0,18,14.100000000000001,0.0,-30.0,18,2,1
-34.0,-22,17.5,0.0,5.0,45,5,1
32.0,15,33.25,0.0,70.0,5,14,1
-75.0,-90,-28.0,-1.0,-10.0,-20,35,1
20.0,30,24.75,0.0,-20.0,-20,-65,-1
-22.0,-36,-15.5,0.0,-49.0,4,-48,-1
15.0,15,22.0,0.0,-10.0,10,-10,-1
53.0,-20,-2.3499999999999943,1.0,-4.0,-20,7,1
-5.0,-25,8.5,0.0,-95.0,-30,85,1
-20.0,10,42.0,0.0,27.0,15,-66,-1
50.0,106,29.25,0.0,5.0,-5,-20,-1
28.0,33,43.75,0.0,-53.0,27,21,1
102.0,13,21.900000000000006,0.0,21.0,-1,-71,1
-15.0,-62,20.700000000000003,0.0,46.0,2,-43,-1
35.0,25,4.75,0.0,-30.0,-10,-30,-1
9.0,35,29.400000000000002,0.0,14.0,45,-8,-1
125.0,0,11.350000000000001,0.0,-25.0,-10,35,1
65.0,92,21.0,0.0,18.0,-5,44,1
-75.0,-55,-27.25,0.0,0.0,0,25,-1
-45.5,12,-1.8500000000000014,0.0,-3.5,49,29,1
-107.0,-53,12.75,0.0,-35.0,-3,53,-1
-34.0,25,23.0,0.0,-15.5,-30,8,1
75.0,62,48.7,0.0,-57.0,-99,-35,1
-64.0,-12,-29.5,0.0,11.0,16,-30,-1
-105.0,-50,-15.75,0.0,-90.5,-27,-62,-1
-100.0,-100,-30.0,-1.0,-60.0,-50,-15,-1
80.0,10,47.5,-1.0,-40.0,-50,-60,-1
60.0,15,-33.0,0.0,-10.0,-20,10,1
-87.0,-142,-50.75,0.0,-14.0,-4,42,-1
70.0,-6,56.7,0.0,89.0,7,-42,-1
-16.0,0,14.100000000000001,0.0,36.0,25,94,1
65.0,-30,7.5,0.0,-57.0,-48,-27,-1
37.0,30,2.3000000000000043,0.0,74.0,33,-49,1
90.0,30,65.25,0.0,0.0,30,35,1
85.0,50,72.0,1.0,75.0,119,34,1
-31.0,-46,-2.75,0.0,29.0,44,14,1
1.0,-21,9.75,0.0,19.0,31,20,1
-61.0,-27,-10.0,0.0,-36.0,-27,41,1
-25.0,-30,-35.0,-1.0,-65.0,-30,-52,-1
-0.5,-47,-30.25,0.0,-95.0,-35,18,1
-45.5,9,-23.0,0.0,-67.5,5,-100,-1
65.0,10,54.0,0.0,-45.0,-20,-70,1
-7.0,4,-4.5,0.0,-60.0,-5,-74,-1
30.0,-5,11.0,0.0,30.0,-20,10,1
-35.0,-50,-10.649999999999991,-1.0,-70.0,0,-26,-1
60.0,70,44.0,0.0,35.0,30,65,1
-90.0,-29,-20.75,0.0,100.0,-35,49,1
-8.0,2,39.0,0.0,-5.0,0,-24,-1
-25.0,21,30.25,0.0,22.5,51,35,1
30.0,-45,27.5,0.0,-5.0,-15,0,-1
-35.0,-45,-37.75,0.0,-75.0,-45,5,1
-66.0,-30,4.850000000000001,0.0,-44.0,-15,34,-1
53.0,-134,-35.75,0.0,66.0,4,37,1
-3.0,17,17.6,0.0,-6.0,67,15,1
-72.5,15,-4.5,0.0,-102.5,-45,-75,-1
-67.5,70,-8.5,0.0,-20.0,15,-63,-1
113.0,22,39.75,0.0,83.0,4,81,1
-35.0,-65,-3.75,0.0,60.0,30,10,1
-68.0,20,-10.25,0.0,-18.0,-50,-46,-1
-40.0,20,16.75,0.0,-25.0,20,10,1
32.0,-1,12.300000000000004,0.0,-24.0,8,11,1
-45.0,-45,23.25,0.0,7.5,30,5,1
9.0,80,34.1,1.0,31.0,95,4,1
-10.0,10,24.75,1.0,50.0,30,5,1
45.0,-5,-10.75,0.0,120.0,-35,60,1
6.0,25,35.15,0.0,5.0,15,55,1
-52.0,-50,193.05,0.0,-42.0,50,-64,-1
110.0,40,34.75,1.0,165.0,40,35,1
-35.0,5,-9.25,0.0,-25.0,5,26,1
-45.0,-50,-27.14999999999999,-1.0,-80.0,-60,-36,-1
19.0,6,18.0,0.0,19.0,-4,26,1
-18.0,-18,-25.64999999999999,0.0,61.0,-17,-11,-1
65.0,60,70.25,1.0,65.0,45,50,1
-10.0,0,-14.5,0.0,10.0,70,10,1
13.0,-56,-2.549999999999997,0.0,-7.0,-11,17,1
-105.0,30,14.75,1.0,-47.5,30,10,1
-60.0,-10,-3.75,0.0,-45.0,-15,-55,-1
-90.0,-35,-47.5,0.0,-15.0,55,0,-1
25.0,2,0.25,0.0,25.0,-13,20,1
-11.0,-11,36.7,0.0,-88.0,-54,-16,-1
40.0,74,52.75,1.0,15.0,7,78,1
13.0,-55,21.5,0.0,-27.0,-55,-5,-1
136.0,-36,21.550000000000004,0.0,46.0,-51,12,1
-52.0,33,-53.5,0.0,-12.0,0,-68,-1
13.0,10,17.5,0.0,28.0,35,20,1
50.0,-35,-59.25,0.0,0.0,-80,5,1
-55.0,-60,-45.0,-1.0,-70.0,-80,-25,-1
-5.0,5,67.5,0.0,15.0,55,50,1
3.0,18,-0.5,0.0,-15.0,-2,-2,-1
3.0,-8,9.450000000000003,0.0,-9.0,-9,3,1
33.0,27,31.85,0.0,15.0,20,-25,-1
150.0,-15,24.0,1.0,170.0,-15,15,1
44.0,-3,-15.5,0.0,20.0,-5,-15,-1
-45.0,-30,-5.25,0.0,-67.0,-63,-14,-1
-6.0,39,45.75,0.0,-9.5,36,15,1
-80.5,-15,19.75,0.0,-27.5,-5,-49,-1
22.0,65,44.25,1.0,45.0,17,77,1
-11.0,-42,-38.099999999999994,0.0,-36.0,-52,-18,-1
26.0,27,40.7,1.0,45.0,25,20,1
-21.0,-15,40.45,0.0,17.0,28,11,1
-54.0,10,-30.0,0.0,-25.0,-40,-52,-1
110.0,25,18.25,0.0,55.0,15,0,-1
20.0,17,11.899999999999999,0.0,103.0,78,48,1
95.0,50,18.700000000000003,0.0,25.0,70,68,1
-15.0,-20,-5.549999999999997,0.0,-5.0,15,-11,-1
-17.5,116,7.5,0.0,-1.5,-3,27,1
-35.0,-55,-32.25,0.0,-65.0,-55,30,1
